Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Sanna,Johansson,Trädgårdsgatan 03,Södertälje,28743,Sverige,SE,19981001-2112,+46,08-678 58 34,1998-10-01,True
Paula,Korhonen,Louhikkopolku 4,Liminka,30442,Finland,FI,19430911-5108,+358,(+358) 794710448,1943-09-11,True
Johnny,Edman,Nyvägen 49,Mölndal,24957,Sverige,SE,19750730-0280,+46,+46 (0)854 928 01,1975-07-30,True
Aud,Aune,Jakobsenalléen 8,Danielsen,0180,Norge,NO,19980430-8445,+47,25 34 39 58,1998-04-30,True
Marte,Danielsen,Lundringen 3,Aas,3897,Norge,NO,19771128-9522,+47,489 60 166,1977-11-28,True
Maria,Olsson,Ekstigen 241,Örebro,90092,Sverige,SE,19850323-5068,+46,073-077 68 24,1985-03-23,True
Lars,Rosenqvist,Trädgårdsstigen 4,Borlänge,75792,Sverige,SE,19480524-5118,+46,08-348 72 50,1948-05-24,True
Helena,Hassan,Skolgatan 734,Nyköping,85301,Sverige,SE,19981007-0857,+46,030-422 69 01,1998-10-07,True
Asta,Nyberg,Storgatan 90,Karlstad,27308,Sverige,SE,19710218-6271,+46,08-671 243 37,1971-02-18,True
Elise,Östlund,Trädgårdsvägen 29,Karlskrona,63703,Sverige,SE,19660304-3372,+46,076-811 62 61,1966-03-04,True
Elise,Nylén,Ängsvägen 484,Borlänge,87782,Sverige,SE,19790903-3213,+46,+46 (0)8 696 165 79,1979-09-03,True
Hans,Petersson,Backvägen 208,Borås,86860,Sverige,SE,20000228-9430,+46,08-106 978 49,2000-02-28,True
Sverre,Tveit,Martinsenrøa 897,Marieeid,5926,Norge,NO,19691010-6098,+47,+47 26 51 86 22,1969-10-10,True
Heather,Francis,Christopher Trail 88833,Robertsbury,63372,Danmark,DK,19870630-8662,+45,7156464147,1987-06-30,True
Samuli,Huhtala,Ilomäenkuja 10,Rauma,55104,Finland,FI,19890109-641X,+358,+358892957123,1989-01-09,True
Sven,Nilsson,Nystigen 3,Skellefteå,37782,Sverige,SE,19971201-1813,+46,096-700 24 74,1997-12-01,True
Anne,Perez,Atkinson Hill 5293,Austintown,44714,Danmark,DK,19901017-1374,+45,278-306-6328x532,1990-10-17,True
Margareta,Svärd,Gentorget 036,Lidköping,75069,Sverige,SE,19490705-4099,+46,0515-629 25,1949-07-05,True
Petteri,Kukkonen,Urkurinpolku 77,Liperi,48090,Finland,FI,19630716-5633,+358,0885630933,1963-07-16,True
Tore,Sandvik,Kristensenlyngen 99,Olavmark,5878,Norge,NO,19910205-5073,+47,29 13 85 85,1991-02-05,True
Øyvind,Ali,Hansseneggen 59,Finnsund,8078,Norge,NO,19781216-6145,+47,+4701810529,1978-12-16,True
Katariina,Lehtimäki,Niemikuja 2,Kaskinen,80112,Finland,FI,19470519-727A,+358,026 718 3402,1947-05-19,True
Beverly,Case,Miller Junction 982,Karenport,56144,Danmark,DK,19410806-6402,+45,001-506-233-1930x873,1941-08-06,True
Ivar,Karlsson,Fabriksgränd 8,Halmstad,72785,Sverige,SE,19460314-0644,+46,049-73 10 67,1946-03-14,True
Silje,Ellingsen,Haugestien 936,Geirnes,3054,Norge,NO,19790330-9568,+47,81 16 17 06,1979-03-30,True
Stine,Sæther,Berntsenekra 87,Evasjøen,7714,Norge,NO,19830509-8035,+47,+47 66 72 43 28,1983-05-09,True
Sigrid,Johannessen,Iversenmyra 5,Anitastrøm,9315,Norge,NO,19851217-1489,+47,987 34 125,1985-12-17,True
Ove,Olsson,Strandgränd 26,Växjö,48141,Sverige,SE,19591226-4765,+46,+46 (0)8 166 929 19,1959-12-26,True
Einar,Kristensen,Ruudåsen 2G,Nguyen,0121,Norge,NO,19811219-2121,+47,35 76 91 72,1981-12-19,True
Ingrid,Östlund,Villagatan 1,Västerås,47420,Sverige,SE,19700120-2435,+46,08-385 503 85,1970-01-20,True
Saga,Gustafsson,Kvarngränd 100,Trelleborg,74803,Sverige,SE,19740806-7046,+46,08-842 382 15,1974-08-06,True
Viola,Nordlander,Kyrkovägen 03,Södertälje,53226,Sverige,SE,19421030-4673,+46,08-292 624 67,1942-10-30,True
Billy,Haynes,Ryan Plains 1501,Gregorychester,02719,Danmark,DK,19471013-9145,+45,001-909-296-7645x276,1947-10-13,True
Saga,Lundkvist,Skolvägen 37,Örnsköldsvik,51420,Sverige,SE,19800608-4693,+46,08-609 09 78,1980-06-08,True
Turid,Kristoffersen,Berntsenkroken 4D,Martevær,9373,Norge,NO,19570706-5110,+47,67825563,1957-07-06,True
Nils,Gustafsson,Skolgatan 523,Linköping,52603,Sverige,SE,19871103-4504,+46,049-40 08 87,1987-11-03,True
Olof,Nilsson,Fabriksgatan 6,Nyköping,80231,Sverige,SE,19820505-0525,+46,001-69 66 40,1982-05-05,True
Steinar,Haug,Ruudmarka 24,Sørensen,1419,Norge,NO,19670215-1786,+47,26 45 16 19,1967-02-15,True
George,Landry,Gonzales Forks 54059,Amyfurt,10504,Danmark,DK,19890927-7823,+45,267.985.8723x668,1989-09-27,True
Antero,Salonen,Caloniuksenkuja 2,Virolahti,11209,Finland,FI,19450810-020W,+358,+358094483363,1945-08-10,True
Bjørn,Mathisen,Tangentjernet 5,Sindreby,2721,Norge,NO,19750308-4355,+47,18943488,1975-03-08,True
Eli,Hansen,Eriksengata 74E,Hanseid,8665,Norge,NO,19430111-8680,+47,96130074,1943-01-11,True
Jonna,Pettersson,Genvägen 2,Linköping,83234,Sverige,SE,19920929-6042,+46,+46 (0)190 775 29,1992-09-29,True
Annie,Larsson,Ekgränd 1,Karlstad,53236,Sverige,SE,19600331-5235,+46,032-282 83 73,1960-03-31,True
Eric,Hellström,Grangränd 600,Södertälje,12358,Sverige,SE,19530727-7104,+47,015-10 48 08,1953-07-27,True
Gunilla,Svensson,Ringgatan 49,Linköping,22791,Sverige,SE,19650421-7758,+46,019-738 62 90,1965-04-21,True
Anne,Karlsson,Skogstorget 0,Lund,88862,Sverige,SE,19990217-4364,+46,+46 (0)67 88 20 19,1999-02-17,True
Irmeli,Salmi,Vanha Rajakuja 628,Vihti,53265,Finland,FI,19890101-747U,+358,+358730527670,1989-01-01,True
Riley,Salinas,Obrien Circle 591,Angelachester,29166,Danmark,DK,19770207-1044,+45,(627)874-7493,1977-02-07,True
Joseph,Murray,Kimberly Walks 78969,New Amychester,79822,Danmark,DK,19900508-6094,+45,9707380900,1990-05-08,True
Rebekah,Mcdonald,Burgess Glen 3126,Clineborough,89167,Danmark,DK,19700630-6869,+45,830.372.4367,1970-06-30,True
Siv,Olausson,Industristigen 696,Ängelholm,66808,Sverige,SE,19560103-0702,+46,0832-83 60 89,1956-01-03,True
Gerd,Lindgren,Fabrikstorget 581,Uddevalla,30351,Sverige,SE,19741101-9475,+46,0978-18 07 83,1974-11-01,True
Cathrine,Hanssen,Moentoppen 64,Ivarfjord,6085,Norge,NO,19461224-8027,+47,+47 62 18 60 34,1946-12-24,True
Roger,Nguyen,Ellingsenbakken 33,Beriteid,6313,Norge,NO,19410217-4704,+47,902 84 336,1941-02-17,True
Inger,Holmqvist,Backvägen 1,Trelleborg,97590,Sverige,SE,19670520-9729,+46,0687-89 37 64,1967-05-20,True
Omar,Aronsson,Parkstigen 86,Falun,46173,Sverige,SE,19410607-5617,+46,0316-620 71,1941-06-07,True
Karl,Jonsson,Ringgatan 303,Skövde,44684,Sverige,SE,19830217-9765,+46,+46 (0)10 80 17 52,1983-02-17,True
Brenda,Smith,Russo Plains 163,Alisonhaven,49862,Danmark,DK,19820311-9330,+45,(676)403-5793x004,1982-03-11,True
Jonas,Kristensen,Simonsenjordet 1,Vik,7470,Norge,NO,19420312-4850,+47,+47 02 41 73 22,1942-03-12,True
Max,Johansson,Järnvägsgatan 0,Umeå,63991,Sverige,SE,19750323-1541,+46,0915-34 52 03,1975-03-23,True
Camilla,Mathisen,Edvardsenengen 20B,Turidvåg,7012,Norge,NO,19870216-0083,+47,08177902,1987-02-16,True
Erik,Norén,Parkgatan 53,Växjö,26735,Sverige,SE,19490105-6545,+46,+46 (0)8 184 560 70,1949-01-05,True
Rachel,Arellano,Melissa Dam 40196,Port Christopherland,53106,Danmark,DK,19580508-7042,+45,001-345-767-9435x854,1958-05-08,True
Jan,Bengtsson,Parkgatan 5,Södertälje,89296,Sverige,SE,20000804-1872,+46,+46 (0)523 106 41,2000-08-04,True
Megan,Paul,Andre Trafficway 30582,South Christopherbury,03057,Danmark,DK,19990904-2529,+45,486.647.0365,1999-09-04,True
Sven,Ali,Ringgatan 20,Eskilstuna,61884,Sverige,SE,19680312-6482,+46,+46 (0)8 030 550 08,1968-03-12,True
Nils,Törnqvist,Skolstigen 50,Eskilstuna,83573,Sverige,SE,19430602-4498,+46,+46 (0)8 401 707 44,1943-06-02,True
Steinar,Ellingsen,Brekkeskogen 3,Næss,8696,Norge,NO,19420930-4317,+47,23 70 51 34,1942-09-30,True
Mikael,Karlsson,Björkstigen 03,Karlstad,74855,Sverige,SE,19520409-3398,+46,086-829 99 80,1952-04-09,True
Karen,Nygård,Fredriksengrenda 4,Evaborg,6584,Norge,NO,19860724-9839,+47,+47 13 56 39 05,1986-07-24,True
José,Holmström,Skogstorget 5,Jönköping,83890,Sverige,SE,19960702-7008,+46,08-321 742 19,1996-07-02,True
Olov,Olausson,Furustigen 124,Kalmar,14183,Sverige,SE,19891217-4282,+46,+46 (0)8 858 528 27,1989-12-17,True
Anna,Blomqvist,Industrigränd 0,Uppsala,63878,Sverige,SE,19510219-5594,+46,035-03 48 82,1951-02-19,True
Astrid,Bakke,Ellingsenbakken 8,Simonsen,2766,Norge,NO,19930911-0342,+47,92724732,1993-09-11,True
May,Björklund,Fabriksgränd 89,Linköping,98317,Sverige,SE,19720731-6963,+46,0377-283 64,1972-07-31,True
Rebecca,Li,Bäcktorget 3,Linköping,34779,Sverige,SE,19811001-6287,+46,+46 (0)8 998 727 16,1981-10-01,True
Ingrid,Wallin,Åkergatan 1,Linköping,83290,Sverige,SE,19750504-6036,+46,+46 (0)009 031 72,1975-05-04,True
Unni,Aasen,Larseneggen 651,Olsen,3405,Norge,NO,19600714-6916,+47,411 83 117,1960-07-14,True
Benjamin,Asikainen,Eduskuntakuja 95,Koski Tl,48528,Finland,FI,19610810-6930,+358,+358 90 6445768,1961-08-10,True
Maja,Johansson,Kyrktorget 35,Piteå,38886,Sverige,SE,19640125-3615,+46,076-84 29 41,1964-01-25,True
Karen,Rønning,Thorsenflata 13,Annasund,6154,Norge,NO,19860831-1676,+47,908 50 012,1986-08-31,True
Ann,Lindström,Ängsvägen 08,Halmstad,13853,Sverige,SE,19990403-2283,+46,080-92 84 16,1999-04-03,True
Jenny,Hauge,Gulbrandsenroa 7E,Aas,1944,Norge,NO,19820906-8345,+47,17581667,1982-09-06,True
Albert,Nilsson,Strandgränd 46,Landskrona,44499,Sverige,SE,19550129-1787,+46,08-78 42 69,1955-01-29,True
Margareta,Stark,Furugränd 9,Piteå,49059,Sverige,SE,19650904-0659,+46,0081-51 53 78,1965-09-04,True
John,Henderson,Felicia Radial 59289,Jameshaven,35458,Danmark,DK,19651207-7922,+45,001-996-668-1402,1965-12-07,True
Lauren,Clark,Brown Glens 9907,Port Kristinshire,86904,Danmark,DK,19690703-9148,+45,4145135832,1969-07-03,True
Heidi,Wells,Robertson Lodge 57598,Rhondafurt,06409,Danmark,DK,19650102-0297,+45,+1-417-998-1236x051,1965-01-02,True
Jennifer,Sampson,Brown Stream 8194,Port Ricardo,08240,Danmark,DK,19860602-2963,+45,+1-860-239-7697x745,1986-06-02,True
Finn,Hanssen,Nguyenberget 25,Sveinnes,4911,Norge,NO,19850724-0129,+47,957 49 123,1985-07-24,True
Maria,Smith,Eric Station 762,Lake Jeff,84053,Danmark,DK,19590319-8714,+45,288-584-4185,1959-03-19,True
Camilla,Henriksen,Bakkeroa 9,Mortenfoss,3055,Norge,NO,19790330-4652,+47,46 76 77 53,1979-03-30,True
Dag,Gundersen,Pedersenberget 7,Sigurdhavn,0741,Norge,NO,20000811-2773,+47,12336328,2000-08-11,True
Jonathan,Hjalmarsson,Gengränd 91,Trelleborg,36095,Sverige,SE,19451128-2152,+46,051-99 55 22,1945-11-28,True
Sara,Krantz,Kyrkstigen 40,Örnsköldsvik,27724,Sverige,SE,19711217-4420,+46,+46 (0)448 112 23,1971-12-17,True
Aila,Voutilainen,Kilpolanpolku 54,Pieksämäki,20868,Finland,FI,19840903-736E,+358,+358434867309,1984-09-03,True
Torbjörn,Karlberg,Industrigatan 86,Linköping,63693,Sverige,SE,19670507-0669,+46,062-73 06 85,1967-05-07,True
Hanna,Strøm,Ruudskogen 06,Brekke,1826,Norge,NO,19541212-4388,+47,83482172,1954-12-12,True
Tom,Karlsen,Aasenstykket 882,Hanssen,6780,Norge,NO,19440902-8932,+47,98 83 21 02,1944-09-02,True
Tor,Nilsson,Idrottsgatan 652,Lidköping,51178,Sverige,SE,19880724-3610,+46,0264-272 37,1988-07-24,True
Kristina,Bergqvist,Backgränd 19,Kristianstad,90597,Sverige,SE,19700225-0496,+46,08-915 68 65,1970-02-25,True
Jan,Svendsen,Evensenvollen 3B,Johnhavn,2628,Norge,NO,19820116-1541,+47,41703859,1982-01-16,True
Linnea,Karlsson,Kyrkvägen 010,Helsingborg,74479,Sverige,SE,19540130-6829,+46,08-626 604 83,1954-01-30,True
Wenche,Ellingsen,Mikkelsenjordet 09,Siljehavn,0445,Norge,NO,19921021-6713,+47,432 25 094,1992-10-21,True
Anette,Ruud,Alihavna 64,Sigridø,8695,Norge,NO,19800126-7184,+47,37 67 76 37,1980-01-26,True
Margareta,Karlsson,Björktorget 59,Karlstad,42581,Sverige,SE,19660130-9906,+46,047-17 39 39,1966-01-30,True
Egon,Karlsson,Bäcktorget 3,Sandviken,43514,Sverige,SE,19630406-3012,+46,006-54 21 67,1963-04-06,True
Joshua,Parker,Dudley Estate 87818,Angelaview,89533,Danmark,DK,19960126-7717,+45,590-355-3249x555,1996-01-26,True
Charlotte,Hedin,Villagatan 298,Linköping,17016,Sverige,SE,19471004-9880,+46,096-304 84 40,1947-10-04,True
Olav,Eide,Aasengata 91B,Gretefjell,3798,Norge,NO,19411115-3802,+47,+4743471676,1941-11-15,True
Charles,Allen,Jones Creek 285,Joannside,59839,Danmark,DK,19891125-5211,+45,342-674-7915x0809,1989-11-25,True
Aaro,Oksanen,Harbonkatu 1,Juupajoki,26133,Finland,FI,19680403-123B,+358,+358399238298,1968-04-03,True
Christine,Ochoa,Christina Fields 73928,Dunnchester,79654,Danmark,DK,19750213-1800,+45,+1-875-458-8621x9280,1975-02-13,True
Megan,Jordan,Arellano Points 7207,Torresmouth,02224,Danmark,DK,19440720-1156,+45,(540)224-8444,1944-07-20,True
Minna,Järvenpää,Haaksipolku 63,Sysmä,99143,Finland,FI,19780117-018J,+358,(+358) 670552922,1978-01-17,True
David,Aguirre,Ana Extensions 94082,East Douglasburgh,26467,Danmark,DK,19870318-3132,+45,383-364-6993x246,1987-03-18,True
Christopher,Pittman,Leonard Crest 4380,South Jessicatown,06103,Danmark,DK,19941017-3167,+45,001-418-221-3281,1994-10-17,True
Scott,Anderson,Terrell Viaduct 0190,Wardfort,15920,Danmark,DK,19761012-7074,+45,9894087831,1976-10-12,True
Tobias,Henriksson,Skogsstigen 76,Nyköping,94358,Sverige,SE,19961130-4007,+46,08-651 638 80,1996-11-30,True
Nina,Kristiansen,Sørensenvika 69,Christensen,5425,Norge,NO,20000529-9040,+47,78 81 29 38,2000-05-29,True
Per,Larsen,Antonsenmyra 74,Karlhelle,8350,Norge,NO,19880815-8985,+47,64 08 32 66,1988-08-15,True
Helena,Jonsson,Nyvägen 749,Karlskrona,33083,Sverige,SE,19590516-0327,+46,+46 (0)19 29 71 70,1959-05-16,True
Lars,Karlsson,Grangatan 2,Örnsköldsvik,46093,Sverige,SE,19650827-2759,+46,003-119 75 91,1965-08-27,True
Viola,Norlin,Furustigen 207,Kalmar,37355,Sverige,SE,20000606-3194,+46,085-479 69 88,2000-06-06,True
Elin,Wester,Stationsgränd 916,Piteå,69344,Sverige,SE,19761024-2083,+46,08-523 73 48,1976-10-24,True
Christian,Jakobsson,Parkgatan 2,Kristianstad,74650,Sverige,SE,19751115-1435,+46,065-312 33 14,1975-11-15,True
Per,Svensson,Fabriksstigen 83,Borlänge,58075,Sverige,SE,19481224-6148,+46,+46 (0)965 817 90,1948-12-24,True
Kjell,Nilsen,Nilsenringen 45,Halvorsen,7990,Norge,NO,19681205-2682,+47,34 14 35 54,1968-12-05,True
Olav,Næss,Gundersenhaugen 6C,Adrianodden,6828,Norge,NO,19881107-9816,+47,20040728,1988-11-07,False
Unni,Moe,Næsshøgda 9,Johannessen,6406,Norge,NO,19740127-1891,+47,32 61 24 01,1974-01-27,True
Gunnar,Lundin,Ringgatan 295,Gävle,58845,Sverige,SE,19561118-0043,+46,076-086 54 86,1956-11-18,True
John,Brooks,Harper Glen 95974,New Isaacchester,85350,Danmark,DK,19520921-8335,+45,9635232468,1952-09-21,True
Kathryn,Lee,Travis Rest 740,North Melindabury,95762,Danmark,DK,19790111-8923,+45,001-213-833-9806x8667,1979-01-11,True
Egil,Berg,Evensengata 76,Johansen,1265,Norge,NO,19740315-0080,+47,79 43 89 49,1974-03-15,True
Lisa,Lambert,Harris Mount 425,Shaneberg,01158,Danmark,DK,19441104-0922,+45,829.510.0530,1944-11-04,True
Sofia,Högberg,Järnvägsvägen 84,Eskilstuna,98622,Sverige,SE,19520113-4092,+46,08-199 671 12,1952-01-13,True
Ricardo,Reyes,Christina Fork 91714,North Matthewville,78208,Danmark,DK,19660625-5819,+45,755.882.6907x2776,1966-06-25,True
Alexander,Sköld,Skolgatan 66,Eskilstuna,20722,Sverige,SE,19621219-1468,+46,069-62 85 46,1962-12-19,True
Kristin,Eriksson,Trädgårdsgränd 2,Varberg,10436,Sverige,SE,19830529-6877,+46,+46 (0)8 647 093 86,1983-05-29,True
Gary,Lawrence,Moore Port 565,New Daniel,36954,Danmark,DK,19781211-4671,+45,(859)219-7604x414,1978-12-11,True
Otto,Andersson,Åkervägen 77,Norrköping,10113,Sverige,SE,19791129-1125,+46,+46 (0)339 482 49,1979-11-29,True
Anita,Sundberg,Parkvägen 14,Göteborg,50582,Sverige,SE,19710706-0740,+46,0705-92 63 77,1971-07-06,True
Martine,Evensen,Svendsenskogen 4,Kristinø,6398,Norge,NO,19980723-9962,+47,+47 42 11 81 13,1998-07-23,True
Thomas,Eliassen,Berntsenberget 46,Saraby,4517,Norge,NO,19460925-8871,+47,914 16 597,1946-09-25,True
Mohamad,Lindvall,Järnvägsvägen 60,Landskrona,70339,Sverige,SE,19900619-4027,+46,+46 (0)8 391 787 78,1990-06-19,True
James,Brown,Mary Shoals 0041,Santosborough,86032,Danmark,DK,19591108-1575,+45,001-213-407-4852x038,1959-11-08,True
Hege,Pettersen,Knutsenvika 6C,Bakken,3578,Norge,NO,19561109-7220,+47,30639446,1956-11-09,True
Christina,Hernandez,Gregory Brooks 3972,Karenberg,84040,Danmark,DK,19530914-8605,+45,(350)951-2389x4737,1953-09-14,True
Annikki,Hakkarainen,Böstaksenbulevardi 91,Tuusniemi,04355,Finland,FI,19700914-545E,+358,+358 99 6375803,1970-09-14,True
John,Keller,Rivera Parks 26076,South Nicole,56087,Danmark,DK,19980613-7493,+45,001-840-973-0813,1998-06-13,True
Michele,Hubbard,Valerie Center 0179,New Denise,71736,Danmark,DK,19440326-5395,+45,828-945-9512x320,1944-03-26,True
Rolf,Andersson,Bäckstigen 4,Luleå,70060,Sverige,SE,19591103-9821,+46,021-79 24 03,1959-11-03,True
Mirja,Mäkinen,Salavakatu 166,Toholampi,94401,Finland,FI,19800609-798M,+358,+358 22 2541176,1980-06-09,True
Maija,Matikainen,Maneesitie 38,Merikarvia,96474,Finland,FI,19840409-1515,+358,0138333654,1984-04-09,True
Fredrik,Bakke,Kristensengrenda 90,Tommystrøm,2459,Norge,NO,19890710-6113,+47,497 47 106,1989-07-10,True
Oliwer,Fredriksson,Ekgränd 851,Piteå,23868,Sverige,SE,19730509-5615,+46,018-42 26 74,1973-05-09,True
Jesper,Roos,Ekgatan 33,Karlstad,63973,Sverige,SE,19830604-4226,+46,08-46 83 91,1983-06-04,True
Janne,Andreassen,Nguyenmyra 2,Alfstrand,7484,Norge,NO,19420404-6158,+47,492 25 663,1942-04-04,True
Elin,Andersson,Furutorget 818,Skövde,22790,Sverige,SE,19920123-2334,+46,08-468 65 40,1992-01-23,True
Stephanie,Ingram,Dodson Harbor 2813,Matthewport,43181,Danmark,DK,19530504-2803,+45,+1-850-786-2249x1564,1953-05-04,True
Ella,Eriksson,Skolgatan 7,Karlskoga,36301,Sverige,SE,19471008-7239,+46,+46 (0)000 408 30,1947-10-08,True
Ingeborg,Månsson,Villavägen 832,Helsingborg,16755,Sverige,SE,19770530-3516,+46,+46 (0)422 860 16,1977-05-30,True
Nancy,Reyes,Matthew Hollow 5295,Mirandaberg,39287,Danmark,DK,19920720-5074,+45,001-681-643-1844x7104,1992-07-20,True
Emilia,Andersson,Strandvägen 0,Örnsköldsvik,75784,Sverige,SE,19580929-7572,+46,+46 (0)8 169 939 56,1958-09-29,True
Astrid,Holmberg,Järnvägsvägen 55,Piteå,93698,Sverige,SE,19681121-7108,+46,+46 (0)17 62 87 70,1968-11-21,True
Marte,Svendsen,Sørensengata 13,Thorsen,6871,Norge,NO,19560731-0967,+47,41063942,1956-07-31,True
Per,Sjöström,Grangatan 992,Uppsala,71754,Sverige,SE,20001124-2881,+46,+46 (0)17 72 61 95,2000-11-24,True
Øystein,Sørensen,Christensenløkka 7H,Haug,8876,Norge,NO,19430105-5214,+47,41297770,1943-01-05,True
Karl,Pålsson,Industrigränd 17,Borås,83227,Sverige,SE,19750113-4818,+45,08-186 348 90,1975-01-13,True
Elisabeth,Carlsson,Björkvägen 1,Trelleborg,91779,Sverige,SE,19660611-3691,+46,08-013 18 82,1966-06-11,True
Lars,Karlsson,Parktorget 16,Trelleborg,34337,Sverige,SE,19861123-6589,+46,080-12 12 57,1986-11-23,True
Maria,Josefsson,Industrigatan 0,Karlskoga,23088,Sverige,SE,19620407-4224,+46,+46 (0)289 232 47,1962-04-07,True
Brian,Wilson,Kim Stream 831,West Patrickview,22207,Danmark,DK,19690128-6979,+45,001-586-212-5720x327,1969-01-28,True
Jens,Jakobsen,Vikhagen 7,Iversen,8545,Norge,NO,19781126-0111,+47,+4746819104,1978-11-26,True
Marte,Rasmussen,Iversenskrenten 21E,Camillabø,7769,Norge,NO,19710717-6193,+47,92114148,1971-07-17,True
Rune,Paulsen,Haugjordet 62,Karlstrand,2426,Norge,NO,19590914-2385,+47,41 55 42 12,1959-09-14,True
Diana,Smith,Granstigen 42,Piteå,59066,Sverige,SE,19850711-3233,+46,068-05 95 89,1985-07-11,True
Bengt,Johansson,Skolstigen 97,Falun,50897,Sverige,SE,19471015-6652,+46,+46 (0)8 805 259 75,1947-10-15,True
Helen,Karlsson,Storgränd 82,Uddevalla,75894,Sverige,SE,19990408-9364,+46,0581-687 91,1999-04-08,True
Molly,Hill,Nicholas Oval 8657,Harperfurt,86219,Danmark,DK,19420227-3347,+45,616-392-1482x89157,1942-02-27,True
Jenny,Ali,Strømskogen 60,Gulbrandsen,1632,Norge,NO,19730723-4786,+47,59208561,1973-07-23,True
Peter,Nyman,Ängsstigen 9,Ängelholm,41605,Sverige,SE,19911126-5703,46,082-34 22 18,1991-11-26,True
Marianne,Sandin,Gentorget 776,Borås,77297,Sverige,SE,19971105-0669,+46,08-595 07 82,1997-11-05,True
Tommy,Nilsen,Haugenroa 74,Edvardsen,3460,Norge,NO,19761115-1275,+47,+47 40 45 60 88,1976-11-15,True
Synnøve,Pedersen,Tangentjernet 25G,Ruud,4967,Norge,NO,19860503-4885,+47,926 12 255,1986-05-03,True
Nils,Åkerlund,Stationstorget 13,Kristianstad,32516,Sverige,SE,19981220-5905,+46,064-70 12 93,1998-12-20,True
Jeanette,Ahmed,Industrigatan 8,Alingsås,44086,Sverige,SE,19630813-6021,+46,08-70 43 44,1963-08-13,True
Viktoria,Jönsson,Backgatan 576,Trollhättan,40204,Sverige,SE,19661126-0730,+46,0046-34 53 07,1966-11-26,True
Berit,Abrahamsen,Nguyenåsen 10,Vik,7757,Norge,NO,19550727-9121,+47,32991105,1955-07-27,True
Sonja,Bengtsson,Skogsgränd 161,Örnsköldsvik,41295,Sverige,SE,19591012-7238,+46,08-32 12 90,1959-10-12,True
Terje,Engen,Bøesvingen 34,Moe,8661,Norge,NO,19641026-3077,+47,+47 55 00 45 26,1964-10-26,True
Stina,Strömberg,Kvarnstigen 336,Linköping,32287,Sverige,SE,19791231-8490,+46,08-73 44 77,1979-12-31,True
Cecilia,Magnusson,Trädgårdsgatan 58,Linköping,67011,Sverige,SE,19440526-1849,+46,08-654 14 76,1944-05-26,True
Elisabeth,Höglund,Parkgatan 59,Borlänge,88482,Sverige,SE,19850423-7056,+46,08-310 11 96,1985-04-23,True
Linnea,Salminen,Uunisepänpolku 54,Tammela,70264,Finland,FI,19440514-844L,+358,(+358) 214598825,1944-05-14,True
Cecilia,Söderström,Genvägen 2,Örnsköldsvik,37488,Sverige,SE,19791103-1251,+46,08-23 92 75,1979-11-03,True
Teresa,Olson,Gilbert Loaf 9343,Gibbsport,27479,Danmark,DK,19711202-3212,+45,+1-987-254-5587x7711,1971-12-02,True
James,Williams,Ritter Light 6984,Danielmouth,34798,Danmark,DK,19761023-1792,+45,(745)917-7228,1976-10-23,True
Jonathan,Farah,Villagatan 79,Borlänge,80139,Sverige,SE,19781110-2412,+46,058-25 57 91,1978-11-10,False
Erika,Gray,Brown Spurs 36211,Cooperside,91919,Danmark,DK,19930824-0403,+45,6477305292,1993-08-24,True
Riitta,Mäenpää,Niemikatu 956,Taipalsaari,57134,Finland,FI,19470914-538L,+358,088 191 7718,1947-09-14,True
Ingvar,Jansson,Kyrkovägen 1,Sundsvall,99850,Sverige,SE,19570315-4193,+46,+46 (0)54 18 76 14,1957-03-15,True
Inga,Karlsson,Skolvägen 2,Borlänge,43320,Sverige,SE,19850829-8086,+46,08-97 92 59,1985-08-29,True
Einar,Nilsson,Grangatan 603,Örebro,93371,Sverige,SE,19690424-0615,+46,0273-61 92 16,1969-04-24,True
Lars,Aronsson,Skogsgatan 962,Gävle,19798,Sverige,SE,19770610-6373,+46,0648-23 54 16,1977-06-10,True
Magnus,Myklebust,Lundekra 404,Karinberg,6096,Norge,NO,19440912-2041,+47,68 01 36 86,1944-09-12,True
Alexandra,Wahlgren,Kyrkovägen 72,Alingsås,64789,Sverige,SE,19781001-8817,+46,0833-243 11,1978-10-01,True
Lisa,Spencer,Anderson Tunnel 7449,Williamsfurt,91383,Danmark,DK,19680407-4997,+45,949-666-3565,1968-04-07,True
Gunilla,Nordström,Ringstigen 7,Eskilstuna,77881,Sverige,SE,19850419-0133,+46,+46 (0)59 91 39 83,1985-04-19,True
Donna,Hoffman,Howard Neck 5367,West Nicole,35419,Danmark,DK,19821105-6705,+45,3807265756,1982-11-05,True
Josefin,Skog,Genstigen 339,Trelleborg,47072,Sverige,SE,19690208-8052,+46,08-08 18 03,1969-02-08,True
Frank,Kidd,Casey Drive 048,Mooreland,97936,Danmark,DK,19881120-2417,+45,643.844.9209x6205,1988-11-20,True
Kjell,Svärd,Åkergränd 6,Stockholm,90736,Sverige,SE,19710908-6147,+46,056-54 94 46,1971-09-08,True
Mari,Östlund,Järnvägstorget 842,Uddevalla,11598,Sverige,SE,19740406-4065,+46,08-125 08 46,1974-04-06,True
Aleksi,Aaltonen,Fredrikinkuja 489,Jokioinen,15477,Finland,FI,19831024-260D,+358,+358 51 6133208,1983-10-24,True
